epoca_inicio,epoca_fin,n_sismos,Mc
1900,1901,4,
1902,1903,5,
1904,1905,2,
1906,1907,3,
1908,1909,7,
1910,1911,6,
1912,1913,2,
1914,1915,3,
1916,1917,3,
1918,1919,3,
1920,1921,4,
1922,1923,1,
1924,1925,3,
1926,1927,0,
1928,1929,7,
1930,1931,2,
1932,1933,9,
1934,1935,5,
1936,1937,4,
1938,1939,2,
1940,1941,3,
1942,1943,6,
1944,1945,6,
1946,1947,2,
1948,1949,4,
1950,1951,7,
1952,1953,2,
1954,1955,4,
1956,1957,3,
1958,1959,2,
1960,1961,2,
1962,1963,3,
1964,1965,4,
1966,1967,0,
1968,1969,6,
1970,1971,4,
1972,1973,4,
1974,1975,317,4.2
1976,1977,276,4.4
1978,1979,460,2.9
1980,1981,386,4.3
1982,1983,413,2.4
1984,1985,423,2.2
1986,1987,218,4.4
1988,1989,2124,4.1
1990,1991,1515,4.0
1992,1993,1519,4.1
1994,1995,1297,4.1
1996,1997,1790,3.9
1998,1999,2112,3.7
2000,2001,2363,3.8
2002,2003,2973,3.8
2004,2005,2531,3.7
2006,2007,2861,3.8
2008,2009,4222,3.6
2010,2011,7681,3.7
2012,2013,10538,3.7
2014,2015,18508,3.5
2016,2017,42055,3.5
2018,2019,56832,3.5
2020,2021,59095,3.6
2022,2023,53967,3.4
2024,2025,72562,3.4
2026,2027,19857,3.3
